Name,No Race,Native American (self reported),East Asian,African or Af-Am Self Reported,Hispanic,White Self Reported,Other Undefined Race
Bayarsaikhan,0,0,1,0,0,0,0
Hahn,0,0,0,0,0,1,1
Wrenn-Nune,1,0,0,0,0,0,0
Villarreal,1,0,0,0,0,0,0
Huber,1,0,0,0,0,0,0
Srirakulan,1,0,0,0,0,0,0
Forestal,2,0,0,2,0,0,0
Almonte Ortiz,1,0,0,0,0,0,0
Urbina,1,0,0,0,0,0,0
Hadley,0,0,0,1,0,0,0
Brubaker,1,0,0,0,0,0,0
Rabatin,1,0,0,0,0,0,0
Godfrey,3,0,0,1,0,0,0
Camejo,2,0,0,0,1,0,0
Vandergaag,1,0,0,0,0,0,0
Da Rosa,0,0,0,0,0,0,1
Egbuson,0,0,0,1,0,0,0
Singletary,1,0,0,0,0,0,0
Hora,1,0,0,0,0,0,0
Brisnard,0,0,0,1,0,0,0
Fiffie,0,0,0,1,0,0,0
Ibrahimi,1,0,0,0,0,0,0
Mingo,1,0,0,0,0,0,0
Chan,3,0,6,0,0,0,0
Horn,0,0,1,0,0,0,0
Surana,1,0,0,0,0,0,0
Trindade Ferraz,1,0,0,0,0,0,0
Chau,2,0,0,0,0,0,1
Yamaguchi,1,0,0,0,0,0,0
Galette,1,0,0,0,0,0,0
Wilmers,1,0,0,0,0,0,0
Montazemi,1,0,0,0,0,0,0
Velazquez-Esudero,0,0,0,0,1,0,0
Revilla,1,0,0,0,0,0,0
Mukley,1,0,0,0,0,0,0
Davis-Woods,0,0,0,1,0,0,0
Stringer,1,0,0,1,0,0,0
Bdap,1,0,0,0,0,0,0
Cee,0,0,0,0,0,0,1
Avril,0,0,0,1,0,0,0
Proctor,3,0,0,0,0,1,0
Kusimba,0,0,0,1,0,0,0
Adme,1,0,0,0,0,0,0
Andina,0,0,0,0,1,0,0
Praveen,1,0,0,0,0,0,0
Jennette,0,0,0,1,0,0,0
Simmons,14,0,0,3,0,0,0
Reyes-Parajon,0,0,0,0,1,0,0
Sandoval,2,0,0,0,2,0,0
Cinor,1,0,0,0,0,0,0
Dumont,1,0,0,0,0,0,0
Pardo,0,0,0,0,1,0,0
Desamour,0,0,0,0,0,0,1
Alexander,8,0,0,1,0,2,1
Estrangel,1,0,0,0,0,0,0
Masoudipoya,0,0,0,0,0,1,0
Forero,1,0,0,0,0,0,0
Poe,3,0,0,0,0,0,0
Victory,1,0,0,0,0,0,0
Sinfuego,0,0,1,0,0,0,0
Kaing,1,0,0,0,0,0,0
Victors,0,0,1,0,0,0,0
Perez Nunez,0,0,0,0,1,0,0
Plummer,1,0,0,0,0,0,0
Bogar,1,0,0,0,0,0,0
Culp,0,0,0,0,0,1,0
Camarena-Garcia,1,0,0,0,0,0,0
Carroll,2,0,0,0,0,1,1
Ryoo,0,0,1,0,0,0,0
Al Khairy,0,0,0,0,0,1,0
Lhundup,0,0,1,0,0,0,0
Chapdelaine,0,0,0,0,0,1,0
Beaucejour,0,0,0,0,0,0,1
Lebron,1,0,0,0,0,0,0
Arnavat,0,0,0,0,1,0,0
Adusumilli,1,0,0,0,0,0,0
Parham,0,0,0,1,0,0,0
Jaime Socarras,0,0,0,0,1,0,0
Nghiem,1,0,1,0,0,0,0
Vaillant,1,0,0,0,0,0,0
Antonucci,1,0,0,0,0,0,0
Haussmann,0,0,0,0,0,1,0
Williams,91,0,2,46,1,5,11
Sweateius,0,0,1,0,0,0,0
Canter,1,0,0,0,0,0,0
Batista Solano,0,0,0,0,1,0,0
Joissin,1,0,0,0,0,0,0
Placido,0,0,0,0,0,0,1
Bang,1,0,0,0,0,0,0
Chunangat Bhaskaran,1,0,0,0,0,0,0
Fusco,0,0,0,0,0,1,0
Ash,1,0,0,0,0,0,0
Banh,1,0,0,0,0,0,0
Jones,72,0,0,21,0,7,5
Lynn,1,0,0,0,0,0,0
Wise,2,0,0,0,0,0,0
Nikoonejad,1,0,0,0,0,0,0
Amirthoyothi,1,0,0,0,0,0,0
Whiteside,1,0,0,0,0,0,0
Tesfa,1,0,0,0,0,0,0
Celamy,0,0,0,1,0,0,0
Purinton,1,0,0,0,0,0,0
Hunnicutt,0,0,0,0,0,1,0
Fletcher-Johnson,1,0,0,0,0,0,0
Sofia,0,0,1,0,0,0,0
Snelson,0,0,1,0,0,0,0
Bullock,1,0,0,0,0,0,0
Menist,0,0,1,0,0,0,0
Halyard,1,0,0,0,0,0,0
Randazzo,0,0,0,0,0,1,0
Worthington,2,0,0,0,0,0,0
Katwaru,0,0,0,0,0,0,1
Antenor,2,0,0,0,0,0,0
Abdul,2,0,0,0,0,0,0
Tapper,0,0,0,1,0,0,0
Axis Saint Juste,1,0,0,0,0,0,0
Marku,0,0,0,0,0,1,0
Boban,1,0,0,0,0,0,0
Sentosa,0,0,1,0,0,0,0
Marks,2,0,0,1,0,0,0
Robillard,1,0,0,0,0,0,0
Laboy,0,0,0,0,1,0,0
Shilleh,1,0,0,0,0,0,0
Venkat,0,0,1,0,0,0,0
Tiwari,0,0,1,0,0,0,0
Rizvi,1,0,0,0,0,0,0
Varas,0,0,0,0,0,0,1
Baity,1,0,0,0,0,0,0
Tian,2,0,0,0,0,0,0
Tial,0,0,1,0,0,0,0
Miranda Pereda,0,0,0,0,1,0,0
Mavintorn,0,0,0,0,0,0,1
Hoang,3,0,4,0,0,0,0
Hoane,1,0,0,0,0,0,0
Reeber,0,0,0,0,0,1,0
Gavrilo,1,0,0,0,0,0,0
McGowan,1,0,0,0,0,0,0
Oreste,0,0,0,1,0,0,0
Magazin,0,0,0,0,0,1,0
Mayard,0,0,0,1,0,0,0
Scanlan,0,0,1,0,0,0,0
Albiza,1,0,0,0,0,0,0
Weavar,1,0,0,0,0,0,0
Petit,1,0,0,1,0,0,0
Little-Sims,1,0,0,0,0,0,0
Kullar,1,0,0,0,0,0,0
Ables,1,0,0,0,0,0,0
Rim,2,0,2,0,0,0,0
Tamburro,1,0,0,0,0,0,0
Wilbourn,0,0,0,1,0,0,0
Vargas Pedroza,1,0,0,0,0,0,0
Carment,0,0,0,1,0,0,0
Bittenbender,1,0,0,0,0,0,0
Rentachintala,1,0,0,0,0,0,0
Rozenkranz Boxford,1,0,0,0,0,0,0
Broughfman,1,0,0,0,0,0,0
Anderson,23,0,1,4,1,3,1
McPherson,1,0,0,1,0,0,0
John,1,0,0,1,0,0,1
Simic,0,0,0,0,0,2,0
Etkin,1,0,0,0,0,0,0
Grantham,0,0,0,0,0,1,0
Sainvil,1,0,0,1,0,0,0
Heinken,1,0,0,0,0,0,0
Culmer,1,0,0,0,0,0,0
Pikiti,1,0,0,0,0,0,0
Cedano,0,0,0,0,1,0,0
Meeks,1,0,0,1,0,0,0
Valdes Ochoa,0,0,0,0,1,0,0
Mankarious,0,0,0,0,0,1,0
MacKey,0,0,0,1,0,0,0
Munoz,3,0,0,0,3,0,0
De Leon,1,0,0,0,0,0,0
Llanes,2,0,0,0,1,0,0
Sunmoni,0,0,1,0,0,0,0
Kittrell,1,0,0,0,0,0,0
Lindsey,4,0,0,0,0,0,0
Igarza Ayala,0,0,0,0,1,0,0
Charbonneau,1,0,0,0,0,0,0
Diaz De Zayas,1,0,0,0,0,0,0
Jothimani,1,0,0,0,0,0,0
Saed,1,0,0,0,0,0,0
Tschappat,1,0,0,0,0,0,0
Etta,0,0,0,1,0,0,0
Silva-Castaneda,1,0,0,0,0,0,0
Katwaroo,1,0,0,0,0,0,0
Menon,0,0,1,0,0,0,0
Fadely,0,0,0,0,0,1,0
Kotha,1,0,0,0,0,0,0
Lorys,1,0,0,0,0,0,0
Jarro,0,0,0,0,1,0,0
Saez,0,0,0,0,1,0,0
Prestil,1,0,0,0,0,0,0
Mrsic,1,0,0,0,0,0,0
James-Kilgore,1,0,0,0,0,0,0
Samalot,1,0,0,0,0,0,0
Aurvichitaroon,1,0,0,0,0,0,0
Huot,2,0,0,0,0,0,0
Calkins,1,0,0,0,0,0,0
Carbaugh,0,0,0,0,0,1,0
Columna,0,0,0,0,1,0,0
Goitom,1,0,0,0,0,0,0
Nazon,0,0,0,1,0,0,0
Burley,0,0,0,1,0,0,0
Dehart,0,0,0,0,0,1,0
Montagne,1,0,0,0,0,0,0
Montagna,0,0,0,0,0,1,0
Gunter,0,0,0,1,0,0,0
Lara Lopez,1,0,0,0,0,0,0
Marrow,1,0,0,1,0,0,0
Flowers,1,0,0,1,0,0,0
Pomales,1,0,0,0,0,0,0
Hlaing,1,0,1,0,0,0,0
Malaj,1,0,0,0,0,0,0
Eubanls-Gaen-On,0,0,0,0,0,0,1
Palmason,1,0,0,0,0,0,0
Vilchez,1,0,0,0,1,0,0
Benhanan,0,0,0,0,0,1,0
Clermont,2,0,0,0,0,0,1
Schulz,1,0,0,0,0,0,0
Meexayvanh,1,0,0,0,0,0,0
Trautmann,1,0,0,0,0,0,0
Norris-King,1,0,0,0,0,0,0
Shave,1,0,0,0,0,0,0
Elgin,0,0,0,1,0,0,0
Galiano Loaces,1,0,0,0,0,0,0
Laspina,0,0,0,0,1,0,0
Muro,0,0,0,0,1,0,0
Sienna,1,0,0,0,0,0,0
Escalante Vergel,0,0,0,0,1,0,0
Harrison,8,0,0,2,0,1,0
Campbell,16,0,1,4,0,1,0
Souksanom,1,0,0,0,0,0,0
Fleuridor,1,0,0,0,0,0,0
Goddard,0,0,0,1,0,0,0
Grice,1,0,0,1,0,0,0
Perez Colon,0,0,0,0,1,0,0
Ramakrishnan,2,0,0,0,0,0,0
Scottie,0,0,0,1,0,0,0
Manivanh,0,0,1,0,0,0,0
Meirelles,1,0,0,0,0,0,0
Alvarez Cabrera,1,0,0,0,0,0,0
Prather,1,0,0,0,0,0,0
Burnette,2,0,0,0,0,0,0
Barcelo-Monero,0,0,0,0,1,0,0
Santos Aguayo,0,0,0,0,1,0,0
Laperle,0,0,0,0,0,1,0
Hernandez Cepero,1,0,0,0,0,0,0
Crawford,6,0,0,1,0,0,0
Nhoung,1,0,0,0,0,0,0
Newman,4,0,0,0,0,0,0
Abergel,0,0,0,0,0,1,0
Fiallo,0,0,0,0,1,0,0
Dawsey,1,0,0,0,0,0,0
Escribano,1,0,0,0,0,0,0
Oates,1,0,0,0,0,0,0
Honorat,0,0,0,1,0,0,0
Thammavong,1,0,0,0,0,0,0
Angeles,2,0,0,0,1,0,0
Hollis,1,0,0,0,0,0,0
Appler,1,0,0,0,0,0,0
Santana Gambar,0,0,0,0,1,0,0
McNeely,1,0,0,0,0,0,0
Ramsamooj,2,0,0,0,0,0,0
Teku,1,0,0,0,0,0,0
Milord,1,0,0,1,0,0,0
Hauser,1,0,0,0,0,0,0
Gehan,0,0,0,0,0,1,0
Valcourt,1,0,0,0,0,0,0
Dopson,1,0,0,0,0,0,0
Hinson,1,0,0,1,0,0,0
Tomey-Imbert,1,0,0,0,0,0,0
Russell,5,0,0,1,0,0,0
Surivongchai,1,0,0,0,0,0,0
Thang,1,0,1,0,0,0,0
Ladeira,1,0,0,0,0,0,0
Labarga,0,0,0,0,0,1,0
Brickey,0,0,0,0,0,1,0
Whitaker,3,0,0,1,0,0,0
Elkins,2,0,0,0,0,0,0
Bricker,1,0,0,0,0,0,0
Higley,1,0,0,0,0,0,0
Fritsch,0,0,0,0,0,1,0
Olisco,1,0,0,0,0,0,0
Reaves,1,0,0,1,0,0,0
Finlay,1,0,0,0,0,0,0
Tur Fernandez,1,0,0,0,0,0,0
Leonard,6,0,1,2,0,0,0
Amaro Mejias,1,0,0,0,0,0,0
Osorio-Garcia,1,0,0,0,0,0,0
Haston,0,0,0,1,0,0,0
Chantharuang,0,0,1,0,0,0,0
Spence,1,0,0,0,0,0,0
Ramsaran,0,0,0,0,0,0,1
Wilbur,0,0,0,0,0,1,0
Linney,1,0,0,0,0,0,0
Mookherjee,1,0,0,0,0,0,0
Beeson,1,0,0,0,0,0,0
Shamsud,0,0,1,0,0,0,0
Suvelic,0,0,0,0,0,1,0
Lowry,1,0,0,0,0,0,0
Sineus,0,0,0,1,0,0,0
Rivera Nieves,2,0,0,0,0,0,0
Brodka,1,0,0,0,0,0,0
Nandur,0,0,1,0,0,0,0
Warren,3,0,0,3,0,0,1
Colburn,0,0,0,0,0,1,0
Azevedo,1,0,0,0,0,0,0
Noel,7,0,0,2,0,0,0
Lertphanich,1,0,0,0,0,0,0
Manirat,1,0,0,0,0,0,0
Norton,2,0,0,0,0,0,0
Sayles,1,0,0,0,0,0,0
Goodyear,1,0,0,0,0,0,0
Keitt,1,0,0,0,0,0,0
Bradley,5,0,0,1,0,0,1
Herrera Garcia,1,0,0,0,0,0,0
Staser,1,0,0,0,0,0,0
Motley,1,0,0,0,0,0,0
Baum,0,0,0,0,0,1,0
Rivero Gutierrez,1,0,0,0,0,0,0
Keita,1,0,0,0,0,0,0
Azulay,0,0,0,0,0,1,0
Decius,1,0,0,0,0,0,0
Keith,1,0,0,1,0,0,0
Demarco,1,0,0,0,0,0,0
Royce,1,0,0,0,0,1,0
Remy,1,0,0,2,0,0,0
Watts,3,0,0,4,0,0,0
Antelmo,1,0,0,0,0,0,0
Valentin,1,0,0,0,0,0,0
Mirzai,1,0,0,0,0,0,0
Kho,1,0,0,0,0,0,0
Nicholson,2,0,1,0,0,0,0
Enfinger,1,0,0,0,0,0,0
Burroughs,1,0,0,0,0,0,0
Thind,1,0,0,0,0,0,0
Purdie,1,0,0,0,0,0,0
Mattis,0,0,0,1,0,0,0
Quezada,1,0,0,0,1,0,1
Tharitimanont,0,0,1,0,0,0,0
Hensford,0,0,0,1,0,0,0
Chuen,0,0,1,0,0,0,0
Gajta,0,0,0,0,0,1,0
Jamarian,0,0,0,0,1,0,0
Bronson,1,0,0,0,0,0,0
Djibrine,1,0,0,0,0,0,0
Pontes,0,0,0,0,0,1,0
Setzer,0,0,0,0,0,1,0
Fredericks,1,0,0,0,0,0,0
Genest,0,0,0,0,0,1,0
Roopnarine,1,0,0,0,0,0,0
Rodriguez Salas,1,0,0,0,0,0,0
Scheherazade,0,0,0,0,1,0,0
Marais,1,0,0,0,0,0,0
Caceres Rosillo,1,0,0,0,0,0,0
Fei,1,0,0,0,0,0,0
Valdez,7,0,0,0,1,0,0
Icson,1,0,0,0,0,0,0
Eliacin,1,0,0,0,0,0,0
Torres Hernandez,1,0,0,0,0,0,0
Lamboglia,0,0,0,0,1,0,0
Wilborn,1,0,0,0,0,0,0
Kpuih,1,0,0,0,0,0,0
Pedroza Colon,0,0,0,0,1,0,0
Hai Zoin,0,0,0,0,0,1,0
Peguero,2,0,0,0,1,0,0
Cortijo Flores,1,0,0,0,0,0,0
Hang,7,0,0,0,0,0,0
Aytche,1,0,0,0,0,0,0
Hand,2,0,0,0,0,0,0
Mavarez,1,0,0,0,0,0,0
Henderon,1,0,0,0,0,0,0
Sunico,1,0,0,0,0,0,0
Kimber,1,0,0,0,0,0,0
Bonachea Garcia,1,0,0,0,0,0,0
Tillery,2,0,0,1,0,0,0
Fils-Aime,1,0,0,0,0,0,0
Labissiere,1,0,0,0,0,0,0
Udoh,1,0,0,0,0,0,0
Ouravanh,1,0,0,0,0,0,0
Zelazny,0,0,0,0,0,1,0
Gurel,1,0,0,0,0,0,0
Lundy,1,0,0,0,0,0,0
Tong,3,0,1,0,0,0,0
Mickens,0,0,0,0,0,0,1
Melara,0,0,0,0,1,0,0
Lundi,0,0,0,2,0,0,0
Armbrecht,1,0,0,0,0,0,0
Cruz Soto,1,0,0,0,0,0,0
Jose,3,0,0,0,0,0,0
Siu,15,0,0,0,0,0,0
Moril,0,0,0,1,0,0,0
Y-Don,1,0,0,0,0,0,0
Scrivens,1,0,0,0,0,0,0
Virgil,1,0,0,0,0,0,0
Al Dabbas,1,0,0,0,0,0,0
Sio,0,0,1,0,0,0,0
Cruse,1,0,0,1,0,0,0
Sil,1,0,0,0,0,0,0
Maye,1,0,0,0,0,0,0
McDaniel,7,0,1,0,0,0,0
Francisco,2,0,0,0,1,0,0
Maya,0,0,0,0,1,0,0
Christine,1,0,0,0,0,0,0
Mayo,2,0,0,1,1,0,0
Cifuentes,1,0,0,0,0,0,0
Zambrano,0,0,0,0,1,0,0
Nolam,1,0,0,0,0,0,0
Ramos,10,0,0,0,8,1,0
Mays,1,0,0,0,0,0,0
Handly,1,0,0,0,0,0,0
Goldberg,1,0,0,0,0,0,0
Ruiz-Quiterio,1,0,0,0,0,0,0
Calderin,2,0,0,0,0,0,0
Abushar,1,0,0,0,0,0,0
Lenny,1,0,0,0,0,0,0
Drayton,2,0,0,1,0,0,0
Roundtree,1,0,0,0,0,0,0
Harcum,0,0,0,1,0,0,0
Quevas Padron,1,0,0,0,0,0,0
Rakhimova,0,0,1,0,0,0,0
Romero Urgelles,1,0,0,0,0,0,0
Perez-Cervantes,1,0,0,0,0,0,0
Gupta,1,0,0,1,0,0,0
Elshani,1,0,0,0,0,0,0
Fleming,0,0,0,1,0,2,0
Epremian,1,0,0,0,0,0,0
L'Hote,0,0,1,0,0,0,0
Rhines,1,0,0,0,0,0,0
Carswell,4,0,0,1,0,0,0
Belledent,1,0,0,0,0,0,0
