Name,No Race,Native American (self reported),East Asian,African or Af-Am Self Reported,Hispanic,White Self Reported,Other Undefined Race
Bridges,1,0,0,0,0,0,0
Kyin,1,0,0,0,0,0,0
Shabeontae,1,0,0,0,0,0,0
Swe,1,0,0,0,0,0,0
Courtex,1,0,0,0,0,0,0
Bliss,1,0,0,0,0,0,0
Nnabueze,0,0,0,1,0,0,0
Nkunku,0,0,0,1,0,0,0
Earsheli,0,0,0,1,0,0,0
Erykah-Shayleanne,1,0,0,0,0,0,0
Monkaylan,1,0,0,0,0,0,0
Cheynne Chaney,0,0,0,1,0,0,0
Manga,0,0,0,1,0,0,0
Linero,1,0,0,0,0,0,0
Barrie,0,0,0,0,0,0,1
Villegas,1,0,0,0,0,0,0
Kioko,0,0,0,1,0,0,0
B,77,0,9,18,7,13,9
Jameshill,1,0,0,0,0,0,0
Tu T,1,0,0,0,0,0,0
Ghaun,1,0,0,0,0,0,0
Mykhele,1,0,0,0,0,0,0
Badsin,1,0,0,0,0,0,0
Leekiyah,1,0,0,0,0,0,0
Jikkel,1,0,0,0,0,0,0
Trion,1,0,0,0,0,0,0
Puali,1,0,0,0,0,0,0
Matema,1,0,0,0,0,0,0
Shoundel,1,0,0,0,0,0,0
Gebremeskd,1,0,0,0,0,0,0
Thuy-Ninh,1,0,0,0,0,0,0
Vargas,0,0,0,0,1,0,0
L-Rasheed,1,0,0,0,0,0,0
J'Rena,0,0,0,1,0,0,0
Hei,1,0,0,0,0,0,0
Antra'Nique,0,0,0,1,0,0,0
Thi Tu,0,0,1,0,0,0,0
Vi,0,0,0,0,0,0,1
Trinidad,1,0,0,0,0,0,0
Lay'Quon,1,0,0,0,0,0,0
Avion,1,0,0,0,0,0,0
Ly'Najji,1,0,0,0,0,0,0
Royshaan,1,0,0,0,0,0,0
Siddaungaswamy,0,0,1,0,0,0,0
Deiondre,0,0,0,1,0,0,0
Chapel,1,0,0,0,0,0,0
Antyonne,1,0,0,0,0,0,0
Kierea,0,0,0,1,0,0,0
Demetic,1,0,0,0,0,0,0
Ocollins,1,0,0,0,0,0,0
Mai-Dell,1,0,0,0,0,0,0
Udaya,0,0,1,0,0,0,0
Jyanae,1,0,0,0,0,0,0
Gombino,1,0,0,0,0,0,0
Amory,1,0,0,0,0,0,0
Lochalle,1,0,0,0,0,0,0
Keshawn,1,0,0,0,0,0,0
Jaqarus,1,0,0,0,0,0,0
Devon,28,1,0,5,0,1,1
Bayles,0,0,0,1,0,0,0
Vithalbhui,1,0,0,0,0,0,0
Ase,1,0,0,0,0,0,0
Tajihee,1,0,0,0,0,0,0
Shole,1,0,0,0,0,0,0
Wise,0,0,0,0,0,1,0
Deshawn,10,0,0,5,0,0,0
Omarquai,0,0,0,1,0,0,0
Da'Nysher,1,0,0,0,0,0,0
Halasan,1,0,0,0,0,0,0
Preet,1,0,0,0,0,0,0
Tjani,0,0,0,1,0,0,0
Qi,2,0,0,0,0,0,0
Raisoel,1,0,0,0,0,0,0
MacKonon,0,0,0,1,0,0,0
Ki'Mauri,1,0,0,0,0,0,0
Mejia,0,0,0,0,1,0,0
Wang,2,0,0,0,0,0,0
Dashauh,1,0,0,0,0,0,0
Embakom,1,0,0,0,0,0,0
Tyrese,2,0,0,4,0,0,1
Hinano,1,0,0,0,0,0,0
Lasnae,0,0,0,1,0,0,0
Srikautarak,0,0,1,0,0,0,0
Lucron,1,0,0,0,0,0,0
Aungeltque,1,0,0,0,0,0,0
Zayne,1,0,0,0,0,0,0
Lemarche,0,0,0,1,0,0,0
Shaitaijion,1,0,0,0,0,0,0
Ja'Trena,0,0,0,1,0,0,0
Naseem,2,0,0,0,0,0,0
Kiev,0,0,0,1,0,0,0
Carey,1,0,0,0,0,0,0
Jacobson,1,0,0,0,0,0,0
Tacolbici,1,0,0,0,0,0,0
Larouche,1,0,0,0,0,0,0
Tornz,1,0,0,0,0,0,0
Jala,1,0,0,0,0,0,0
Lasean,0,0,0,1,0,0,0
Vicuna,1,0,0,0,0,0,0
Chame'C,0,0,0,1,0,0,0
Navjzea,1,0,0,0,0,0,0
Jarquail,0,0,0,1,0,0,0
Paej,1,0,0,0,0,0,0
Kiyan,0,0,0,1,0,0,0
Free,0,0,0,0,0,1,0
Tarianey,1,0,0,0,0,0,0
Pascua,2,0,0,0,0,0,0
Paes,0,0,0,0,1,0,0
Montroce,1,0,0,0,0,0,0
Nihay,1,0,0,0,0,0,0
Tateyona,1,0,0,0,0,0,0
Aleksandro,1,0,0,0,0,0,0
Al'Amir,0,0,0,1,0,0,0
Pui-Yui,0,0,1,0,0,0,0
Inique,1,0,0,0,0,0,0
Ky'Mec Wue'Viyan Mar,1,0,0,0,0,0,0
Da'Shonti,1,0,0,0,0,0,0
Rasawn,1,0,0,0,0,0,0
Shadel,1,0,0,0,0,0,0
Taliaka,1,0,0,0,0,0,0
X,4,0,3,0,0,1,0
McCkey,1,0,0,0,0,0,0
Lashodd,0,0,0,1,0,0,0
Che'Zryahka,1,0,0,0,0,0,0
Kuen,2,0,0,0,0,0,0
De'Jhone,0,0,0,1,0,0,0
Moore,1,0,0,2,0,2,1
Caprie,0,0,0,0,0,1,0
Kanlldl,0,0,0,0,1,0,0
Okalani,1,0,0,0,0,0,0
Semup,1,0,0,0,0,0,0
Emon,1,0,0,0,0,0,0
Rim,1,0,0,0,0,0,0
Shylek,1,0,0,0,0,0,0
Melan,1,0,0,0,0,0,0
Perez,0,0,1,0,1,0,0
Katharine-Ann,0,0,0,0,0,1,0
Delfvon,1,0,0,0,0,0,0
Al'Kayla La'Owetta,1,0,0,0,0,0,0
Swaphil,1,0,0,0,0,0,0
Tymil,1,0,0,0,0,0,0
Jepatrick,1,0,0,0,0,0,0
Mabresa,1,0,0,0,0,0,0
Sabron,1,0,0,0,0,0,0
Tangog,0,0,1,0,0,0,0
Deulphen,1,0,0,0,0,0,0
Nijetha,1,0,0,0,0,0,0
Sydney,1,0,0,1,0,1,0
Tarinao,1,0,0,0,0,0,0
Shaz'Vae,1,0,0,0,0,0,0
Culanculan,0,0,1,0,0,0,0
Imorie,1,0,0,0,0,0,0
Thilanka,1,0,0,0,0,0,0
Sunct,1,0,0,0,0,0,0
Holdoora,1,0,0,0,0,0,0
Lange,1,0,0,0,0,0,0
Gerbrian,0,0,0,1,0,0,0
Pagado,0,0,1,0,0,0,0
De Na,1,0,0,0,0,0,0
C,117,1,15,44,15,17,17
Guvelon,1,0,0,0,0,0,0
Norbertovna,1,0,0,0,0,0,0
Osiris,1,0,0,0,0,0,0
Jeesmis,0,0,0,1,0,0,0
Miyrahn,1,0,0,0,0,0,0
Sha-Fay,1,0,0,0,0,0,0
Nassek,1,0,0,0,0,0,0
Abhanti,1,0,0,0,0,0,0
Chalazion,1,0,0,0,0,0,0
Podesta,1,0,0,0,0,0,0
Adilade,1,0,0,0,0,0,0
Lakiah,0,0,0,1,0,0,0
Lynshea,1,0,0,0,0,0,0
Laike,1,0,0,0,0,0,0
I Atalanga,1,0,0,0,0,0,0
Rakiyia,1,0,0,0,0,0,0
Badato,1,0,0,0,0,0,0
Cassin,1,0,0,0,0,0,0
Zodac,1,0,0,0,0,0,0
Dokht,1,0,0,0,0,0,0
Coker,1,0,0,0,0,0,0
Amje,1,0,0,0,0,0,0
Layne,10,0,0,0,0,6,0
Funmike,1,0,0,0,0,0,0
Dejarez,0,0,0,0,1,0,0
Kalani,0,0,0,1,0,0,0
Abimbola,1,0,0,0,0,0,0
Devolnor,1,0,0,0,0,0,0
Kayleyn,1,0,0,0,0,0,0
Kassa,1,0,0,0,0,0,0
Hernandez,4,0,1,0,1,0,0
Donas,1,0,0,0,0,0,0
Duaqui,0,0,1,0,0,0,0
La'Va,1,0,0,0,0,0,0
Jarnc,1,0,0,0,0,0,0
Androhany,2,0,0,0,0,0,0
Tishas,1,0,0,0,0,0,0
Neshalynn,1,0,0,0,0,0,0
Deche,2,0,0,0,0,0,0
Moyhe,1,0,0,0,0,0,0
Rhian,1,0,0,0,0,0,0
Shawtayus,1,0,0,0,0,0,0
Osonny,1,0,0,0,0,0,0
Yang,2,0,1,0,0,0,0
L'Edward,0,0,0,1,0,0,0
Night,1,0,0,0,0,0,0
Nelje,0,0,0,1,0,0,0
Quntay,0,0,0,1,0,0,0
Cj,1,0,0,0,0,0,0
Ch,1,0,0,0,0,0,0
Delane,3,0,0,0,0,0,0
Taborite,1,0,0,0,0,0,0
Halili,1,0,0,0,0,0,0
Natwand,1,0,0,0,0,0,0
Natwane,0,0,0,1,0,0,0
Shermanc,1,0,0,0,0,0,0
Percedes,1,0,0,0,0,0,0
Elis,0,0,0,1,0,0,0
Khaly,1,0,0,0,0,0,0
Viyun,1,0,0,0,0,0,0
Mailalik,1,0,0,0,0,0,0
Jhordai,0,0,0,1,0,0,0
Tashaun,1,0,0,0,0,0,0
Vianney,1,0,0,0,0,0,0
Deshay,0,0,0,1,0,0,0
K'Ivory,1,0,0,0,0,0,0
Lehan,1,0,0,0,0,0,0
Nam,1,0,0,0,0,0,0
Elmal,1,0,0,0,0,0,0
Cha'Lett,1,0,0,0,0,0,0
Nay,1,0,0,0,0,0,0
Masrsha,0,0,0,1,0,0,0
Keeslaun,1,0,0,0,0,0,0
Sykeil,1,0,0,0,0,0,0
Zimmerman,0,0,0,0,0,1,0
Azalovich,1,0,0,0,0,0,0
Devincci,0,0,0,1,0,0,0
Kazmele,1,0,0,0,0,0,0
La'Neika,0,0,0,1,0,0,0
Thi Hong,2,0,1,0,0,0,0
Zhares,1,0,0,0,0,0,0
McAye,1,0,0,0,0,0,0
Quanatta,0,0,0,1,0,0,0
Den'Twan,1,0,0,0,0,0,0
Eduardovich,1,0,0,0,0,0,0
