Name,No Race,Native American (self reported),East Asian,African or Af-Am Self Reported,Hispanic,White Self Reported,Other Undefined Race
Thaoniki,1,0,0,0,0,0,0
Mahari,1,0,0,0,0,0,0
Nabhas,1,0,0,0,0,0,0
Damjibhai,1,0,0,0,0,0,0
Jinhong,0,0,1,0,0,0,0
Niraldo,0,0,0,1,0,0,0
Alazandria,0,0,0,0,0,0,1
Liz-Anel,0,0,0,0,1,0,0
Kaneii,0,0,0,1,0,0,0
Wise,1,0,0,0,0,0,0
Nulvi,0,0,0,0,1,0,0
Gariel,1,0,0,0,0,0,0
Sulviane,0,0,0,1,0,0,0
Mahasen,0,0,0,0,0,1,0
Shaoxing,1,0,0,0,0,0,0
Jylwan,1,0,0,0,0,0,0
Floreslaven,0,0,0,0,1,0,0
Lauron,1,0,0,0,0,0,0
Redcharles,0,0,0,0,0,0,1
Anaysolga,0,0,0,0,1,0,0
Jonel,1,0,0,0,1,2,0
Letrato,1,0,0,0,0,0,0
Shaitura,1,0,0,0,0,0,0
Kimpaa,1,0,0,0,0,0,0
Yadelisse,1,0,0,0,0,0,0
Ellemore,1,0,0,0,0,0,0
Nakelianna,0,0,0,1,0,0,0
Le'Chon,1,0,0,0,0,0,0
Swazibelle,0,0,0,0,1,0,0
Kenneale,1,0,0,0,0,0,0
Tyrese,21,0,0,6,0,0,0
Hueishien,1,0,0,0,0,0,0
Khamari,4,0,0,0,0,0,0
Guillera,1,0,0,0,0,0,0
Rati,1,0,0,0,0,0,0
Kunh-Lee,0,0,1,0,0,0,0
Baoan,1,0,0,0,0,0,0
Everney,0,0,0,0,1,0,0
Anna-Jacklyn,1,0,0,0,0,0,0
Nesmaris,1,0,0,0,0,0,0
Darys,1,0,0,0,0,0,0
Yineibys,1,0,0,0,0,0,0
Yunis,0,0,0,0,1,0,0
Omotade,0,0,0,1,0,0,0
Dickita,1,0,0,0,0,0,0
Neicovesha,1,0,0,0,0,0,0
Rodja,1,0,0,0,0,0,0
Salincia,1,0,0,0,0,0,0
Khawand,0,0,0,1,0,0,0
Eliara,0,0,0,0,1,0,0
Jishamol,0,0,1,0,0,0,0
Gennileidi,0,0,0,0,1,0,0
Aurice,1,0,0,0,0,0,0
Kezaun,1,0,0,0,0,0,0
Marcelli,1,0,0,0,0,0,0
Lasean,2,0,0,0,0,0,0
Miradide,1,0,0,0,0,0,0
Mylan,1,0,0,0,0,0,0
Citlaly,1,0,0,0,2,0,0
Barnette,0,0,0,0,0,1,0
Saadiah,1,0,0,0,0,0,0
Gaousson,0,0,0,1,0,0,0
Mountasia,1,0,0,0,0,0,0
I'Tya,1,0,0,0,0,0,0
Yiscarly,1,0,0,0,0,0,0
Aulbernie,1,0,0,0,0,0,0
Mykiaja,1,0,0,0,0,0,0
J'Niyyah,1,0,0,0,0,0,0
Gleimys,1,0,0,0,0,0,0
Lisa-Mi,1,0,0,0,0,0,0
Ruveim,1,0,0,0,0,0,0
Chanhhouane,1,0,0,0,0,0,0
Kwason,1,0,0,0,0,0,0
Jennifehr,1,0,0,0,0,0,0
Kancesha,1,0,0,0,0,0,0
Treeshaun,1,0,0,0,0,0,0
Apson,0,0,0,1,0,0,0
X,0,0,1,0,0,0,1
Shavayla,0,0,0,1,0,0,0
Ayadra,1,0,0,0,0,0,0
Yazniuly,0,0,0,0,1,0,0
Terrishny,1,0,0,0,0,0,0
Guyen,1,0,0,0,0,0,0
Xiaobo,1,0,0,0,0,0,0
Ching Pang,1,0,0,0,0,0,0
Zeocorie,1,0,0,0,0,0,0
Keneeko,1,0,0,0,0,0,0
Arteresa,0,0,0,1,0,0,0
Petit,0,0,0,1,0,0,0
Mayyar,0,0,0,0,0,0,1
Treavion,0,0,0,1,0,0,0
Rio,2,0,0,0,0,0,1
Rim,3,0,0,0,0,1,0
Browjache,1,0,0,0,0,0,0
Siva,1,0,0,0,0,0,0
Usielle,0,0,0,1,0,0,0
Khamyah,1,0,0,1,0,0,0
Beianna,1,0,0,0,0,0,0
Beauponte,1,0,0,0,0,0,0
Bynta,1,0,0,0,0,0,0
Reanya,1,0,0,0,0,0,0
Talee,0,0,0,0,0,1,0
Peroul,1,0,0,0,0,0,0
Taal-B,1,0,0,0,0,0,0
Tejashwee,1,0,0,0,0,0,0
Yangchun,1,0,0,0,0,0,0
Won Yong,1,0,0,0,0,0,0
Wayphian,1,0,0,0,0,0,0
Keyriliz,0,0,0,0,1,0,0
Ngoc-Ba,1,0,0,0,0,0,0
Anelaciti,1,0,0,0,0,0,0
Zenilynn,1,0,0,0,0,0,0
Xiaodong,1,0,1,0,0,0,0
Mikekisha,0,0,0,1,0,0,0
Haronid,1,0,0,0,0,0,0
Bingjia,1,0,0,0,0,0,0
Keinar,1,0,0,0,0,0,0
Zhe Xing,1,0,0,0,0,0,0
Glenister,0,0,0,1,0,0,0
Prezama,1,0,0,0,0,0,0
Panginorin,0,0,1,0,0,0,0
Courty,0,0,0,1,0,0,0
Xolile,1,0,0,0,0,0,0
Elzar,1,0,0,0,0,0,0
Barakia,1,0,0,0,0,0,0
Nyako,1,0,0,0,0,0,0
Jovanni,3,0,0,0,0,0,0
